,year,housing_units,neighborhood,sale_price_sqr_foot,gross_rent
0,2010,372560,Alamo Square,291.1829454722909,1239.0
1,2010,372560,Anza Vista,267.9325826799483,1239.0
2,2010,372560,Bayview,170.09866536400102,1239.0
3,2010,372560,Buena Vista Park,347.39491940371136,1239.0
4,2010,372560,Central Richmond,319.0276225530687,1239.0
5,2010,372560,Central Sunset,418.1724927089675,1239.0
6,2010,372560,Corona Heights,369.3593380041366,1239.0
7,2010,372560,Cow Hollow,569.3799679261333,1239.0
8,2010,372560,Croker Amazon,165.64573006507914,1239.0
9,2010,372560,Diamond Heights,456.9308221979013,1239.0
10,2010,372560,Downtown ,241.80455206485132,1239.0
11,2010,372560,Eureka Valley/Dolores Heights,403.1183126490986,1239.0
12,2010,372560,Excelsior,364.9283357085176,1239.0
13,2010,372560,Financial District North,401.7499665916537,1239.0
14,2010,372560,Financial District South,162.82121004772353,1239.0
15,2010,372560,Forest Knolls,209.04932663469447,1239.0
16,2010,372560,Glen Park,715.5864380979737,1239.0
17,2010,372560,Golden Gate Heights,551.8011188234774,1239.0
18,2010,372560,Haight Ashbury,254.47377914469143,1239.0
19,2010,372560,Hayes Valley,272.28497956385485,1239.0
20,2010,372560,Hunters Point,170.62491987132685,1239.0
21,2010,372560,Ingleside ,275.0566856099092,1239.0
22,2010,372560,Inner Mission,238.35002040677708,1239.0
23,2010,372560,Inner Parkside,199.7020037821992,1239.0
24,2010,372560,Inner Richmond,285.8223584886826,1239.0
25,2010,372560,Inner Sunset,275.76972957461044,1239.0
26,2010,372560,Jordan Park/Laurel Heights,419.8878118764657,1239.0
27,2010,372560,Lake --The Presidio,320.79691049204627,1239.0
28,2010,372560,Lone Mountain,398.4588759923028,1239.0
29,2010,372560,Lower Pacific Heights,374.0576360101685,1239.0
30,2010,372560,Marina,387.392839476922,1239.0
31,2010,372560,Miraloma Park,680.6087291389301,1239.0
32,2010,372560,Mission Bay,489.80537777998506,1239.0
33,2010,372560,Mission Dolores,257.9879986350069,1239.0
34,2010,372560,Mission Terrace,262.87602564056425,1239.0
35,2010,372560,Nob Hill,307.67747674427835,1239.0
36,2010,372560,Noe Valley,381.1384451470527,1239.0
37,2010,372560,Oceanview,282.11967050133603,1239.0
38,2010,372560,Outer Parkside,432.1952921124555,1239.0
39,2010,372560,Outer Richmond ,338.12619999607017,1239.0
40,2010,372560,Outer Sunset,368.31155203937294,1239.0
41,2010,372560,Pacific Heights,496.5160141469498,1239.0
42,2010,372560,Park North,326.01715041025074,1239.0
43,2010,372560,Parkside,274.1667415866912,1239.0
